DateTime,Text,Language,Hashtags,ReplyCount,RetweetCount,LikeCount,QuoteCount
2022-10-03 01:46:51+00:00,it’ busi as usual at negro orient provinci capitol as the special provinci board of canvass conven today at the comelec hq in manila to annul gov. pryde henri teves’ #halalan2022 victory. | via @rafcabristant https://t.co/wxasrwt9u0,en,['Halalan2022'],1,0,4,0
2022-10-03 01:45:01+00:00,it’ busi as usual at negro orient provinci capitol as the special provinci board of canvass conven today at the comelec hq in manila to annul gov. pryde henri teves’ #halalan2022 victory. @abscbnnew https://t.co/mvhkja6qag,en,['Halalan2022'],1,0,0,0
2022-10-02 22:53:01+00:00,the latest fp media news! https://t.co/ws3fh12iez #halalan2022 #philippin,en,"['halalan2022', 'philippines']",0,0,0,0
2022-10-01 15:45:56+00:00,"🧵 what went before: file of certif of candidaci (cocs) for #halalan2022 on the first day of filing, octob 1, sen. manni pacquiao (promdi) and hous deputi speaker lito atienza (promdi) file their coc for presid and vp, respectively. https://t.co/u66edkabw0",en,['Halalan2022'],1,1,10,1
2022-10-01 09:00:36+00:00,"the result are out! with 32 votes, our newli elect grade 7 batch repres is hann macauley frias! may you lead, serve, and excel along with your fellow offic in the suprem student government. congratulations! #halalan2022 #parasapascian #parasabayan https://t.co/adowi3f7gr",en,"['Halalan2022', 'ParaSaPascian', 'ParaSaBayan']",0,0,8,0
2022-09-30 12:10:39+00:00,"there wa no ""massiv elect fraud"" in the #halalan2022, @lenirobredo' support believes. https://t.co/cgutadln1r",en,['Halalan2022'],0,0,2,0
2022-09-29 23:55:43+00:00,"the commiss on elect (@comelec) on thursday, sept. 29, start print the ballot for the decemb 2022 barangay and sangguniang kabataan polls. #botoko #bske2022 #halalan2022 #eleksyon2022 #phvote #bilangpilipino2022",en,"['BotoKo', 'BSKE2022', 'Halalan2022', 'Eleksyon2022', 'PHVote', 'BilangPilipino2022']",0,0,0,0
2022-09-29 02:01:29+00:00,the @comelec is set to start print on thursday the ballot to be use for the barangay and sk poll even if the senat and hous of repres have pass bill postpon the elect to next year #botoko #bske2022 #halalan2022 #eleksyon2022 #phvote #bilangpilipino2022,en,"['BotoKo', 'BSKE2022', 'Halalan2022', 'Eleksyon2022', 'PHVote', 'BilangPilipino2022']",0,0,0,0
2022-09-29 00:14:58+00:00,the senat and the hous of repres ratifi the bicamer confer committe report seek the postpon of the barangay and sk poll to the last monday of octob 2023. #botoko #bske2022 #halalan2022 #eleksyon2022 #phvote #bilangpilipino2022,en,"['BotoKo', 'BSKE2022', 'Halalan2022', 'Eleksyon2022', 'PHVote', 'BilangPilipino2022']",0,0,0,0
2022-09-28 04:01:05+00:00,comelec announc that voter registr will be reopen in novemb 2022 onc the govern final the postpon of the barangay and sangguniang kabataan elect slate for decemb 5 #botoko #bske2022 #halalan2022 #eleksyon2022 #phvote #bilangpilipino2022,en,"['BotoKo', 'BSKE2022', 'Halalan2022', 'Eleksyon2022', 'PHVote', 'BilangPilipino2022']",0,0,0,0
2022-09-28 01:42:30+00:00,"the commiss on elect (@comelec) is look to start with the print of the ballot for the barangay and sangguniang kabataan elect (bske) by thursday, sept. 29 #botoko #bske2022 #halalan2022 #eleksyon2022 #phvote #bilangpilipino2022",en,"['BotoKo', 'BSKE2022', 'Halalan2022', 'Eleksyon2022', 'PHVote', 'BilangPilipino2022']",0,0,0,0
2022-09-26 09:05:31+00:00,2022 presidenti elect in iloco region 🟥marco 85% 🟪robredo 11% marco won hi territori by a margin of 74 point or a net of 2.2 million votes. he receiv 60%< in everi municipality. #electiontwitt #halalan2022🇵🇭 https://t.co/vphl57zuxi,en,"['ElectionTwitter', 'Halalan2022']",2,4,20,2
2022-09-25 01:12:48+00:00,".@comelec chairman garcia said on saturday that the chang in the schedul of ballot print is not in ani way an indic of the barangay and sangguniang kabataan elect (bske) postponement. , #botoko #bske2022 #halalan2022 #eleksyon2022 #phvote #bilangpilipino2022",en,"['BotoKo', 'BSKE2022', 'Halalan2022', 'Eleksyon2022', 'PHVote', 'BilangPilipino2022']",0,0,0,0
